edad,educ,wage
75,10,1491.5528014464312
76,5,2411.23353366744
44,8,2276.2783271287512
64,7,3029.4619793199417
62,0,2961.0250598049074
27,3,2976.3580988358726
40,3,2151.52310145826
50,13,2751.460370927552
75,7,3931.2327042511743
48,2,2231.367361141784
33,5,2628.125172170844
19,5,2208.8853010915573
34,8,2768.0849513147823
79,10,2886.2869061591314
43,3,989.2649305828313
18,2,2165.1673749015836
50,13,3244.8565084387956
21,13,2552.827010985282
51,12,2179.7790167350404
63,6,3219.2768143511757
56,1,2035.8082411986336
22,8,2015.6932835113903
44,14,2267.977130258925
67,0,2950.0594431069835
43,2,1209.6743729115608
55,3,1847.6970319223276
76,4,1635.6480297135377
25,1,1688.0466261994668
35,12,2831.2736156939977
47,4,1133.371445831883
77,2,3171.1233731683274
46,13,1798.256309381332
71,10,2082.5928468767243
68,2,2638.858391883991
73,5,2148.3264350477903
57,12,2529.93002157638
48,6,3026.2173967916324
59,12,2355.771529548418
74,6,3091.7093363866566
45,7,3308.354665322233
68,12,2908.5432014076832
48,0,2998.270588923136
21,2,3380.2816953124
77,12,2154.3137386817552
43,4,2188.9340050924707
51,3,2845.2398581084835
30,1,1677.8781098956993
20,4,2385.285924515361
74,5,2733.2031749567996
75,10,2678.177858182274
28,5,3095.96759886714
70,6,3020.3377522515657
39,14,2144.887736535301
77,10,2177.0221966873914
52,11,2156.1192099857826
56,0,2472.21031665439
20,0,3677.2873706321097
23,8,1777.2985030129407
71,4,2458.951433895174
67,3,2844.1791405293434
79,4,2712.318249717426
66,9,3342.447873731579
47,14,2933.5701106403994
42,12,3357.3322622255923
75,11,2506.898333970514
65,6,1778.4031351196077
59,1,2073.819752446243
63,14,1943.4923711086044
79,7,3172.372554098347
60,4,1966.3657071276239
24,1,2867.197994468
24,0,3647.6675500049514
74,0,2075.851353136389
65,5,1851.284176606722
55,1,1945.4957152509091
45,1,2301.2379125112943
66,6,2903.8612031005005
57,5,2255.4825323304735
21,3,3870.3410252378853
67,10,2027.7254263564655
72,0,2110.911621221585
30,10,3063.9429778925273
69,5,1941.277524576528
18,4,2505.9812981269233
36,4,3012.1121801095733
75,3,3499.8141820132496
56,10,2024.9405800543168
36,7,2678.8249684872203
74,3,1371.1889802271994
53,8,2178.399386777419
65,8,2251.7050223887773
71,9,2151.207964027355
54,0,1947.4564578118902
51,4,2209.1612124402423
23,0,3006.242762774969
60,8,1654.966066110442
19,14,2191.048033742818
74,5,969.5503765685833
41,5,1742.070613699504
33,6,1809.675243197229
47,9,2838.396377122916
77,3,2197.591938318358
68,0,2609.576208511779
47,11,2334.683155841522
28,14,1543.3725034501613
23,0,2753.5896215570497
62,12,3247.0183742124595
53,9,1356.0875027092889
31,0,1899.5916441645004
37,8,1876.7867320745268
29,4,2175.0477353302044
69,11,3012.160939933259
74,10,2248.314740349901
64,1,2784.138938133662
18,10,2979.288095320988
76,8,1706.0597342713104
35,8,1219.9105274860094
52,5,1786.9211821730767
49,12,2708.6929611520163
63,8,2738.8077046436733
68,10,2933.786890270139
55,8,2295.235733038557
48,1,3669.0696053894853
54,2,3465.5956963818444
65,9,1835.410758097269
70,11,2370.5790574249154
48,14,2373.345637729194
47,6,3742.258397362186
46,0,2227.6104620145525
73,13,2320.3048353001595
71,13,2917.913188358978
43,8,2338.980632781006
39,12,2150.3956573224277
69,1,3401.806961600885
41,0,1785.5339687641
57,9,2474.195513863033
30,11,1832.7439219935354
52,11,2324.5833010788765
68,5,1903.9478904738958
39,3,3104.450463075361
35,8,1864.032261442852
70,8,2314.1011740717317
20,13,2103.3702406662396
30,14,2974.6074678351233
45,8,2644.6748093157994
76,8,1846.5465079701798
79,8,2985.05686555724
68,11,1744.7762803310625
45,0,3432.3506074812512
46,8,2383.398080651804
29,13,1544.8167056499838
51,2,2779.167027165431
30,12,2299.120903331165
41,3,1640.0229019907583
74,8,2399.607420097532
37,4,1305.127272059098
21,5,1549.7298058038507
79,1,2264.9616037755886
19,7,2415.0906669896176
59,8,1713.875910696364
22,8,2251.5664367067543
71,12,2308.197291935603
25,8,2012.6772701810032
70,5,1877.0599849943019
20,0,1996.050603593626
72,4,2869.327125741948
75,6,2121.085400007817
19,14,2452.71128237351
74,9,1814.3663774633328
32,5,2492.2557267794073
53,0,2029.0158718143812
64,9,2003.910397835582
36,13,3067.2115596688454
54,11,2906.8890869761444
27,11,2794.3954037570516
74,7,1524.2118650582277
56,5,2336.53445889663
38,0,2482.392372688127
74,6,1703.2727663604728
73,5,3045.8670029268264
46,13,2723.648547995327
29,10,2857.6147766297895
38,6,2454.657321851067
73,3,1599.6371465830175
33,7,1875.5363710536487
53,5,2801.586615558639
47,1,2263.331102684316
71,5,3085.0881277179224
47,6,1640.6780170425632
25,2,3315.2645039360236
64,5,2541.4846597652154
72,14,2158.4138046914786
40,14,2253.157173060309
47,8,3076.6819493168305
38,14,2313.157220449926
22,13,2002.4073248869913
19,6,2838.9311200235124
34,9,2565.5954450960053
62,2,2843.2644539809107
53,1,2428.009184854493
41,3,3075.051038998787
44,13,2062.05397410424
57,8,3144.7405086959297
50,11,1995.5728875831005
36,13,2438.1115301001496
53,10,3043.3273163944086
70,6,2396.4531790576534
35,1,2312.630656777732
57,0,2386.22268914471
37,1,2633.203962399714
32,11,2162.440015383241
42,14,2679.2828740931564
22,12,1738.9720709085063
77,13,3170.70328498388
78,1,2548.4329560420933
19,0,2171.482563346201
27,14,2510.9414591727063
75,13,3048.107103894867
45,10,3357.141983892614
64,9,2222.8089992521564
26,1,2285.2157197048655
24,13,2312.796330800722
36,14,2313.46941558231
60,5,2022.7746413915702
31,10,3325.5096697245644
50,5,2726.308303404426
34,5,1939.9463915701558
75,13,2847.7719930523917
32,13,2910.063973637045
39,0,1964.168232002488
19,2,3284.847342739814
57,4,1699.6404263222435
79,1,1676.907285587613
18,13,2371.346782596725
79,12,1999.2434588347114
78,10,1863.0103922720177
28,12,1576.2236588647447
57,6,2690.4346593517735
58,3,2574.8582335426477
47,4,2174.5855167689942
71,3,2297.429596243074
67,13,2419.0962790719186
26,6,2328.9594972412856
68,3,3193.4439322118355
70,6,1744.1445779270716
25,9,2863.9972443662973
48,6,2986.5849048654
73,8,2501.647658289179
19,5,2429.3775258879973
19,9,2053.0709448307152
57,7,2973.0613711210094
57,13,2220.699090147373
27,6,1596.5819693091162
57,0,3614.7942379615047
24,13,2129.432515520328
20,12,1885.1220320023328
68,2,3361.781140301318
79,8,3065.8269053787785
43,13,3294.737151217067
50,2,3111.6155698619323
40,6,2334.4217497817667
55,5,2885.5234433949163
37,2,3049.2174673354984
52,3,1458.0825244975535
18,1,3205.9413102616627
74,10,2463.874537070976
33,4,1395.9550631460213
18,0,4192.982612742049
22,7,2104.0507919455054
34,10,1757.9351061320995
33,14,1768.3075878755849
44,1,2516.7532088958656
34,2,2104.048914233915
59,14,2468.104645524511
21,3,3123.8187069536584
24,10,3580.274326612582
39,4,2631.27967732628
21,0,1900.4018980212895
19,1,2889.392004815842
51,2,2322.460880502274
57,10,4568.17236643492
37,4,2267.9395164020143
53,2,2687.426808163074
48,2,2182.2568526417213
76,4,2779.1258088594495
59,14,1565.7331712918194
61,6,2983.059544974072
53,5,1163.917244598399
73,14,1514.947133107287
71,8,2019.4504219743617
45,9,2103.65671431726
37,10,1434.8386100733642
76,6,3085.6020193958047
79,1,2329.25810459687
23,13,2707.9585413054415
64,0,2810.3825729426694
61,5,3415.161315454573
23,0,2729.6991846818296
69,0,1759.052109903731
34,6,2170.3358941676925
55,1,2259.801534300098
18,4,2161.466327606268
50,12,2716.5343373785527
33,9,1587.5853542904335
31,9,2980.305367964953
18,4,3724.4230641519353
76,5,2462.8117730413373
46,2,3533.699797981781
75,13,2387.71452320877
26,0,2045.7149772862483
39,9,1510.762249565577
67,6,2536.111598356145
64,7,1479.2614724136133
31,10,1200.1071410619434
72,14,3270.0107976905288
75,11,2743.2979829077694
49,13,3413.624625281361
32,12,2678.5360357850686
19,7,1567.6718227414526
78,14,2555.46917417945
68,13,2353.016455180068
70,4,2603.2776755463447
76,6,2468.3178745432833
75,5,1158.8762351553505
59,0,2994.1706544022227
79,3,3123.8202943914757
25,5,2765.926556289954
30,8,3139.312702500298
69,7,1654.5425198203984
43,8,2104.076853936372
36,11,4297.455958338585
18,6,2987.8645277809796
37,12,3331.8097279239078
79,8,3476.688144315696
46,6,2598.9342586600887
48,9,1834.3335527172735
60,11,1606.7418266286013
67,4,2216.0488194357267
30,6,2314.212737335549
63,9,2471.4021975940836
75,0,3220.562847033605
35,8,2124.77634418364
47,6,3162.379931423992
64,9,2730.4380549879256
36,5,2198.3573280147675
20,9,2866.353556029735
57,14,3202.3514987078006
19,6,2505.189947399194
52,10,1724.166796824592
25,6,2048.8293460897544
54,11,3414.459536129151
21,4,2452.589520485518
34,12,3418.324067215853
73,1,3842.188560697934
77,14,1733.1345666378734
52,7,3128.1172951305025
27,7,1863.3721027028844
52,9,2892.255946119092
36,7,1709.8171363160727
31,12,2235.2916460308893
51,14,2224.9397749672453
53,4,2720.53846385969
46,2,1447.9602346103168
76,4,2266.099549842256
68,0,1787.3428664613066
63,12,3459.6108651857744
79,14,2107.9649011998995
73,4,3000.24234747202
72,1,2481.2439942209257
43,13,2293.871013773163
21,3,2084.893858535267
56,1,2918.8439551836987
24,12,2395.677951432578
76,0,3599.693173067859
43,5,1609.1490277978928
40,4,2254.1453793011906
69,0,2551.4243021235493
69,1,2282.7196222140287
72,2,2986.196615963853
24,5,2833.374708015235
30,13,2768.097909682047
24,11,2745.6970483000305
57,12,3081.152333878184
46,14,2745.350017497899
60,0,1965.3726544720412
50,12,3597.9812405029625
55,9,2638.0654819177007
46,1,3443.70003953875
26,6,2351.13851176301
57,3,3079.803054544156
35,14,3210.006800292093
76,10,2238.444934267355
79,7,3368.4148861848203
24,1,2255.3330920642334
39,13,3064.787102479015
39,5,3273.7929760420107
19,3,2235.7637420475135
38,1,2166.0804625257165
68,13,2004.2289763466613
67,5,2514.05470576221
62,9,2175.0320141336406
65,13,2312.8982537827824
58,5,2302.3169871388727
55,3,3157.214449713545
64,8,2615.868902763657
29,11,1546.072086472691
79,4,1758.4590039337522
52,11,2725.740301189816
64,9,3106.2561279656265
19,5,2871.862786563146
18,13,1777.5719839678982
64,3,2963.676511500004
51,13,3844.2916026097223
59,12,1488.083779754088
57,4,2041.3734447382635
26,2,2084.818665521003
42,6,2471.8032297691184
56,11,2316.0998212307727
23,5,1891.1733285429152
21,12,2797.312887630705
40,13,2138.1587830013277
57,10,1485.4945566170975
78,9,3734.7222341638026
38,14,2849.144930833239
67,11,2730.645879914797
64,5,1500.8472639972435
78,4,2525.595452894989
78,1,1844.4081805857863
58,4,2642.3688601799727
63,11,2163.428297310198
46,12,2331.74433912508
54,14,2852.8462138646355
28,12,1347.5445522035236
31,0,1708.3323422270648
44,9,2711.1571620170535
25,5,2513.3862993657594
25,13,3929.4479190349184
24,10,2861.4164233192155
40,4,1772.7397648881793
68,0,3521.666885034187
49,8,2551.6127731552347
74,0,2266.1604894372704
31,7,2833.2836282829358
22,14,3427.51391425589
36,10,2171.6124547933205
40,5,2458.7929121382854
47,0,2503.894528889402
67,12,3251.354212955627
40,0,2886.409351300055
76,5,2090.9170919494545
63,0,2157.0074077369854
76,1,3520.1185909352325
72,12,1870.5358384807087
53,9,2507.646986911813
64,1,1710.0443908949246
24,0,2909.678198762487
45,6,1587.3236607033878
35,2,1683.6977946934799
72,11,2346.8173660853595
78,5,1640.9510423162087
76,1,3040.9906405591573
58,11,3223.5908909697123
68,11,2718.582999524333
19,13,2768.3598820641932
53,2,2069.8364228893533
70,3,3068.146912277737
25,14,2621.5598537712117
29,6,2678.1355734000867
30,7,3313.167924002361
38,6,2310.007873470759
49,11,2209.0476433072026
53,9,1700.1990761302466
70,1,1294.045935683258
42,5,1588.653762168874
76,8,2083.2416379752067
48,0,2440.3002766833206
73,5,1808.04198080965
53,1,2902.398652925756
43,13,1407.2652909489693
28,4,2897.906021969709
65,4,2447.385221847142
50,14,2955.8412839987745
71,12,2946.530280846877
72,2,2399.4040168628903
74,8,1960.2148412765166
46,0,1653.6778992435402
62,6,2021.8981319573081
42,11,1711.9370833668495
37,12,2720.315929088123
55,14,2808.9407964651605
72,2,2649.413300796732
62,9,2183.985978603851
57,2,2716.954160015551
49,14,3215.750268233741
33,4,2037.221014219419
32,4,3768.4507030257496
66,11,1679.9959208945024
77,13,2073.0651517029432
68,1,2591.8837798818945
62,10,2230.7288731187955
41,4,2662.391842971077
32,2,2568.35262234006
56,11,3306.451202768785
37,6,1403.6545373063254
62,13,3177.954014343998
74,1,1652.7485501532233
36,1,1548.0668488468523
77,9,2515.6215175819134
77,6,2717.777586525262
26,1,2766.029216467846
34,8,2695.9523063322913
68,10,2623.166684609153
70,4,2333.631249309725
76,0,2507.2940935752567
49,4,3000.4817048935784
21,11,2016.1218782006902
61,4,1755.1292915778931
69,14,3484.536832502305
75,14,2865.482084250306
48,8,2943.874033425492
50,4,2389.2277176663024
75,9,2314.6544148999574
30,0,1947.2886101272816
27,13,2188.7649535863984
41,9,2559.2846819344813
79,10,1486.6386402123298
72,14,2200.247899603503
54,13,2488.31005846276
27,1,3289.1855449289465
25,11,3166.925712789364
75,12,2391.3509417909254
58,7,2107.6613771364014
79,14,1982.5376476940273
51,2,1226.668420751786
22,8,1708.3255745480883
60,2,2817.3417670543295
30,13,1587.7897737164358
18,12,3570.508976633788
58,10,3154.9536933733075
69,10,2042.9726711022854
27,11,2286.2123293827717
55,3,1969.1985989456598
45,13,2918.988247794575
32,0,2264.9692246935656
31,4,1070.6289185291018
48,11,2366.672225370473
37,8,1111.4640473950928
30,8,1296.7052588673116
41,1,1983.5242013353848
63,12,2850.16923082753
20,4,2212.682236934451
35,6,3352.0118601297904
45,2,2178.008586150875
78,14,2861.8977988150946
59,10,3381.4363183976166
43,4,1373.272349002024
38,3,2742.6018719991575
69,11,2062.6167137563675
48,11,2459.144191676025
50,2,2885.960456404973
58,5,2789.8556493912483
63,13,2356.2258681636404
47,14,3552.3792658513225
42,1,3129.5370978046544
24,0,2011.8711109146343
31,6,2274.474401247615
26,2,4380.043346623697
56,1,3765.700317758881
42,5,3112.2635617599253
62,13,3138.466026692742
38,13,3423.3291298927024
61,10,2569.0521159692516
55,2,2831.5903025116386
35,0,1993.2485980834588
22,6,2927.4884375476895
55,7,2803.800593026251
50,9,2837.6883734836956
19,4,2846.832159853509
78,6,1995.708922071582
48,0,1477.5376320679843
41,13,2587.630222345303
30,1,2415.0058766321445
52,9,2168.534257216644
31,9,2268.6126761276214
76,9,1636.78351229189
61,5,1749.5909322996301
41,12,2617.818923411043
65,3,1618.611520353761
43,9,2296.0189724804363
62,8,2221.459474883144
30,7,2927.6554241702092
19,12,1554.0665526471232
45,12,2762.607850651176
73,7,2139.4108151422374
32,10,2626.7388166366113
52,3,3606.642455797427
33,5,1558.7027296169413
48,0,1465.1988801700777
37,5,2746.599706196791
75,12,2783.934409802654
71,8,2136.885067709824
24,6,2405.9328488647852
59,10,2783.4702237776396
65,7,1779.2177124429454
60,10,2552.142668190508
34,9,2736.5424967861345
50,5,2326.9625125168786
57,5,3563.190881224409
20,0,3113.9191384715596
60,5,1491.3212032942806
55,7,1854.078340281626
30,3,3358.2050075367965
60,13,2309.261219448587
62,6,2839.1619669044057
75,5,3516.5830577091815
32,3,3491.046261968547
64,5,1861.6369647315905
33,6,1489.400793101885
68,6,2531.959277410345
76,1,2137.8379140656857
51,3,3127.3259762525186
27,10,2297.9345289702014
73,11,1734.2567247586749
41,12,1312.5974698385253
46,4,2071.4015917521183
26,10,2960.06295704978
49,3,3045.8454333322475
56,12,2387.5670105972767
44,4,3042.6145740695097
29,10,2734.636286305816
29,4,2251.332759553892
75,8,3078.181069863952
42,3,2481.52303016438
50,14,2705.665710539908
44,6,2191.539496608674
32,9,2389.558255120517
52,5,3155.8310301692127
45,1,1776.9554635737886
72,13,2713.5861109784482
32,5,2607.1472440061325
29,3,2717.6462275715226
72,0,2106.988659012732
43,9,2648.138069423279
50,8,3009.2255733177567
68,14,1329.274732119232
37,1,2010.7018334126371
75,8,3141.0379409170455
64,13,2489.9947875278062
21,14,2912.697552138308
54,12,2543.849778162706
28,3,1404.2717633511518
66,9,2284.731315994218
60,9,2881.2218827162005
35,13,3313.6632098145174
32,8,3322.1641587049803
31,8,1420.0094054600793
76,4,2231.2582932869623
46,12,2399.3825839635915
20,12,2639.3119964607768
38,11,2971.4401957562004
75,2,1565.7616577533706
54,4,2532.786566638573
21,3,2508.3105783787196
32,5,2031.9032382201854
43,0,2357.382303569953
75,10,2045.1236410686424
54,10,2607.6856867431206
46,6,2254.472170447669
72,10,2019.6201438413482
76,1,750.5973351978039
67,13,2475.337131357383
72,12,2813.806484086922
54,0,3196.142638813175
26,1,2562.459264126337
37,14,2678.067761426308
75,7,2879.46269720748
48,3,2683.706321070466
40,12,3520.040453642948
63,6,2665.167102839558
53,4,3952.463674631007
33,9,2033.1973088966286
69,5,3521.806461179981
56,1,1353.2593987848911
77,11,2684.272357523695
56,8,2651.415594078431
50,13,2253.5064461812726
57,11,2949.8589878286753
74,7,2305.3485956496934
70,2,2705.742393176098
79,13,2588.3222459081367
68,11,1834.0887726227168
64,9,1569.4563972086585
59,2,2292.4409596345167
43,4,3770.1939111093507
66,4,2278.3172821700355
24,8,2935.9647146079255
31,2,2239.5508139026106
41,11,3866.0204775220723
47,11,1576.621644934114
35,0,2450.8268958600574
52,11,1968.6847501038783
31,13,2118.046139125733
78,10,2628.9382709698957
79,8,2946.483903400547
43,1,1312.1022718711836
36,10,2764.7797130513322
42,3,2758.003384217281
37,13,2163.150348258351
35,3,1917.1955658820552
18,6,3624.619026244937
75,9,3566.224553949193
47,5,1687.5057841533724
68,6,2794.8660170376425
76,2,2042.2526207008316
30,3,2267.2440452115793
55,12,1817.5270819545494
73,10,2016.1034230890264
70,1,1466.0010504830552
79,11,2687.714163722867
58,9,1831.253784943711
47,6,3074.5690929903903
37,14,2359.5324098552082
31,10,2544.904193400552
33,5,2964.167728032978
69,6,2422.812285501464
69,2,2560.7366756159945
47,2,2399.2207417479403
76,6,3385.3897815308455
28,14,2236.4635804894865
26,3,3346.111639424352
34,5,3100.6805418727045
62,1,2890.814514812044
50,4,2181.914485625696
45,12,2559.25733585673
47,13,2973.4369180217773
23,7,2604.6037370059735
23,9,2185.2179559217075
41,13,2984.717055721547
67,7,3322.3221280556827
23,1,3898.6214601216907
31,1,2366.5531388784707
56,14,2605.356033775892
26,13,3078.2608303269726
32,9,1728.7971291768158
49,4,2457.0303364203724
30,12,3214.714835971963
73,6,2544.8740083365738
18,9,2890.738131765205
62,1,2652.2399680290155
45,7,2288.5023867017812
33,4,2681.4790696923014
22,12,2101.8488520757337
64,7,2260.6947514504573
69,12,2109.9228036074637
70,8,2435.7164901533533
38,12,2918.5448876558157
76,5,2385.423944817897
53,3,2570.1845897856037
23,12,2490.240290651586
42,1,1827.068539816368
60,8,3052.8329652674493
74,7,2801.19021025197
61,0,2184.8975674627354
79,4,2582.898767461423
56,5,3154.6886802204904
73,2,2348.480969531506
42,5,2779.924058784654
71,13,2958.364072449103
62,5,2004.7605158365532
49,7,2870.5006724261584
64,14,2746.8530246929695
22,10,1793.0477407898743
33,8,2605.298406123756
41,11,2370.595113383639
39,3,2490.647365225895
52,0,2245.0428617517687
45,14,2645.260768075135
77,8,1884.8059070399986
38,7,2508.53555853359
31,6,2638.7453992285286
32,14,2651.9434276938123
44,8,2570.306694135468
60,12,2856.7197585997533
46,2,1766.7211362256462
34,0,2529.3843184841658
33,4,2260.676599575918
41,5,1833.1416293182347
21,7,1841.7800192715654
39,9,3013.0431410503106
23,9,1677.535517699801
39,7,2696.2756789113905
78,3,2570.2373967075237
48,3,2964.7238464247216
31,4,2301.9967849693653
60,9,2831.4392359742733
60,1,2189.8150034968694
30,4,2214.0718737073876
49,1,3456.473599899635
59,2,1673.0202398331996
27,9,1158.7638650159809
72,4,1818.9033729550515
24,4,2649.437214079974
32,2,2657.70472220058
52,8,2375.341718990598
35,14,2404.4236431664967
20,7,3527.9659713638675
41,2,2839.7199051865496
45,1,1498.5152387979274
43,8,2813.219924957364
60,4,2874.986060583297
48,13,2061.7350186016893
28,10,3163.68649977142
24,3,1041.1721016556965
51,0,1732.215155862654
78,5,2329.989063728758
22,6,2848.183659858691
39,12,2559.4429955400024
36,14,3279.5224090887077
46,12,2799.0820173670236
44,3,1711.5375008459396
71,9,2386.599501067087
46,9,2022.3716815314772
66,2,2349.7465262390137
50,1,1945.9247529460724
49,11,3107.178815867686
31,2,2538.370101277391
33,3,1053.0793063885665
51,12,2880.2686427655553
26,8,2012.1964013562138
50,14,3200.200610832836
21,5,2485.512694323004
75,13,2355.2266203367785
40,1,2945.244940624305
38,2,2373.7997742423513
23,14,3195.5697439207024
70,2,2706.7620646524933
43,14,2981.5189699046423
62,0,3372.8985560216142
41,1,2586.1782089702924
40,8,2910.6841594314874
35,0,3037.6323142183387
71,5,3562.2185679940912
55,12,2348.1709997293137
71,5,3312.507924742769
58,0,2535.816238601331
58,11,3244.0449572756006
71,7,3158.430443982328
32,12,2161.820798780564
37,0,1947.0496896958373
20,10,2013.6998810961306
78,2,2716.3170595458687
46,13,1554.342543395729
29,3,1606.5801173151544
28,3,3359.0269227379777
24,8,2703.052049422025
79,5,2326.9458161020884
62,10,2105.8952984249404
42,13,2031.37698787004
23,4,3357.8503464754504
50,13,2672.0189093839367
73,6,3103.461972538442
36,10,2425.9024779361616
65,11,1352.9810632968447
78,5,2670.660044386612
63,5,2425.4868516760203
25,2,2230.006861966142
32,0,2989.9750793100357
22,13,1389.2293306035874
54,14,2437.3682461967974
59,7,1753.8459234345974
62,3,1794.8437175485162
69,2,2307.940345646206
73,13,1312.211557773392
31,10,2580.2813480546047
69,13,2327.936345600107
20,3,1582.4862249304163
51,14,2403.449959767528
58,0,1660.510298050156
60,8,2016.4394495581942
50,6,2546.076938519612
48,8,3040.2344102922452
59,14,2988.5687385295364
48,3,1779.110392732322
44,12,1567.099423401443
21,8,2314.946526005243
35,4,2935.3977914100383
63,9,2911.147804010971
51,13,2112.695090172998
72,11,2362.8433841377023
43,10,2752.1738505956873
50,13,2921.932908713004
68,5,1664.0882427920055
20,0,2829.960803098553
52,10,2715.1323429570944
54,13,1890.2922146526607
18,3,2843.407063444177
61,5,2857.812657060048
64,1,2844.7135519992735
31,1,2670.9409483078416
26,3,1766.6438390263263
32,14,2610.987323280255
56,5,2776.760653985928
47,0,2341.79834926159
65,12,1899.0525297078766
70,0,2701.3694514097274
